movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,movie_facebook_likes,imdb_score
Crowsnest ,22,84,0,380,1321,630,51,1200000,91,238,3.8
Cruel Intentions ,101,97,16,4000,149222,6223,749,10500000,656,0,6.9
Cry Freedom ,17,147,0,18000,9913,18855,51,29000000,427,0,7.5
Cry_Wolf ,137,90,65,1000,23021,3155,220,1000000,989,816,5.9
Cube ,99,90,165,686,160511,1743,696,365000,648,11000,7.3
Curious George ,87,78,5,8000,12845,11124,118,50000000,2000,624,6.6
Curse of the Golden Flower ,189,114,611,879,36455,949,229,45000000,52,0,7.0
Cursed ,158,99,0,1000,26126,2535,325,35000000,573,0,5.0
Cutthroat Island ,61,124,212,1000,21102,3611,169,98000000,903,1000,5.6
Cypher ,82,95,165,686,27052,1501,124,7500000,327,0,6.8
Cyrus ,223,91,157,490,29967,1136,126,7000000,259,0,6.3
D.E.B.S. ,50,91,23,4000,12188,6380,135,3500000,756,1000,5.3
Da Sweet Blood of Jesus ,46,123,0,3000,794,4040,9,1420000,372,447,4.1
Daddy Day Camp ,52,89,0,555,12339,1752,32,6000000,484,256,2.9
Daddy Day Care ,81,92,41,1000,49486,4050,116,60000000,955,886,5.5
Daddy's Home ,145,96,51,8000,54010,10886,130,50000000,2000,13000,6.1
Dallas Buyers Club ,471,117,212,11000,326494,17738,340,5000000,3000,65000,8.0
Damnation Alley ,41,91,22,669,3701,1769,71,17000000,642,903,5.2
Dance Flick ,83,88,82,756,10161,4378,50,25000000,713,657,3.5
Dancer in the Dark ,177,140,3000,963,79330,2894,690,12800000,595,0,8.0
Dances with Wolves ,92,236,0,933,186485,2398,382,22000000,839,0,8.0
Dancin' It's On ,3,89,49,551,105,895,7,12000000,85,634,2.8
Dangerous Liaisons ,51,119,350,18000,52846,35501,143,14000000,17000,0,7.7
Dangerous Liaisons ,51,119,350,18000,52846,35501,143,14000000,17000,0,7.7
Danny Collins ,139,106,102,14000,20810,18712,100,10000000,3000,0,7.1
Dante's Peak ,93,108,79,650,62271,1569,277,116000000,293,0,5.8
Dark Blue ,71,118,41,556,17261,1873,125,15000000,463,455,6.6
Dark City ,222,111,295,3000,156929,4696,624,27000000,882,14000,7.7
Dark Shadows ,526,113,13000,40000,199039,80849,479,100000000,17000,82000,6.2
Dark Water ,196,103,179,794,44966,1467,411,30000000,329,0,5.6
Darkness ,108,103,57,541,16747,1228,349,10600000,451,1000,5.4
Darkness Falls ,140,96,474,1000,25870,2212,369,11000000,970,2000,4.9
Darling Lili ,22,143,688,638,1547,788,50,25000000,50,104,6.2
Das Boot ,96,293,249,362,168203,469,426,14000000,21,11000,8.4
Date Movie ,99,85,64,3000,50415,6539,613,20000000,869,806,2.7
Date Night ,247,101,189,15000,127571,39822,207,55000000,11000,0,6.3
Dave Chappelle's Block Party ,114,100,1000,989,7721,2165,72,3000000,744,635,7.2
Dawn of the Crescent Moon ,3,95,0,883,34,2618,2,75000,507,87,5.0
Dawn of the Dead ,287,110,0,3000,194422,10438,1057,26000000,2000,7000,7.4
Dawn of the Dead ,287,110,0,3000,194426,10438,1057,26000000,2000,7000,7.4
Dawn of the Planet of the Apes ,521,130,198,10000,317542,14363,620,170000000,2000,45000,7.6
Dawn Patrol ,9,88,19,795,455,2497,13,3500000,535,570,4.8
Day of the Dead ,184,87,0,1000,49669,1592,419,3500000,177,3000,7.2
Day of the Dead ,184,87,0,1000,49672,1592,419,3500000,177,3000,7.2
Day One ,17,102,19,632,2116,1011,13,3400000,144,0,6.6
Daybreakers ,292,98,35,125,105797,189,281,20000000,37,0,6.5
Daylight ,61,114,357,13000,53132,25126,101,80000000,10000,0,5.8
Days of Heaven ,112,94,0,820,37594,1618,181,3000000,350,0,8.0
Days of Thunder ,60,107,12000,10000,60476,14006,97,60000000,3000,0,5.9
Dazed and Confused ,152,102,0,14000,120036,18643,408,6900000,1000,10000,7.7
De-Lovely ,119,125,34,427,9649,729,226,20000000,66,1000,6.6
Dead Like Me: Life After Death ,19,87,65,866,10734,3724,80,5000000,738,887,6.1
Dead Man Down ,217,118,76,3000,54147,4253,127,30000000,678,0,6.5
Dead Man on Campus ,37,96,0,3000,11729,6861,106,14000000,2000,645,6.0
Dead Man Walking ,77,122,0,276,73193,903,190,11000000,258,0,7.6
Dead Man's Shoes ,99,90,222,680,39929,1311,207,695393,404,0,7.7
Dead Poets Society ,96,128,608,49000,277451,51609,491,16400000,1000,23000,8.0
Dead Snow ,224,91,75,35,54601,116,200,800000,16,23000,6.4
Deadfall ,162,95,24,16000,32512,27575,86,12000000,10000,0,6.3
Deadpool ,579,108,84,16000,479047,18239,1058,58000000,805,117000,8.1
Dear John ,162,108,529,17000,104356,19945,186,25000000,861,14000,6.3
Dear Wendy ,100,102,346,947,9003,2572,58,50000000,526,532,6.6
Death at a Funeral ,168,87,0,22000,89547,24324,199,9000000,557,0,7.4
Death at a Funeral ,168,87,0,22000,89547,24324,199,9000000,557,0,7.4
Death Becomes Her ,49,104,0,13000,78974,25599,173,55000000,11000,8000,6.4
Death Race ,230,111,545,26000,166610,28643,211,45000000,872,0,6.4
Death Race 2000 ,164,80,43,13000,19875,14950,147,300000,926,0,6.2
Death Sentence ,166,111,0,856,60156,3309,299,20000000,742,0,6.8
Death to Smoochy ,105,109,0,49000,34730,52885,341,55000000,811,0,6.4
Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,39,88,0,342,774,483,7,500000,79,590,7.1
Deconstructing Harry ,104,96,11000,11000,35586,11867,131,20000000,474,0,7.4
Decoys ,35,95,3,889,4041,2984,66,5000000,680,174,4.6
Deep Blue Sea ,199,105,212,1000,99043,3697,643,60000000,975,0,5.8
Deep Impact ,125,120,75,11000,135601,22750,493,75000000,4000,0,6.1
Deep Rising ,106,106,208,3000,26551,6558,273,45000000,1000,0,6.0
Def-Con 4 ,18,88,4,232,1339,289,46,1750000,23,220,4.3
Defendor ,78,95,89,963,31836,2658,90,3500000,654,0,6.8
Delgo ,41,94,0,795,2458,2449,26,40000000,754,211,4.4
Deliver Us from Evil ,242,118,301,2000,54447,5697,201,30000000,1000,18000,6.2
Delivery Man ,168,105,31,390,59805,1006,95,26000000,311,0,6.4
Demonic ,58,83,8,798,7358,4756,39,3000000,634,0,5.3
Departure ,29,109,0,202,162,283,5,1100000,47,75,7.0
Derailed ,116,112,101,896,62584,2019,375,22000000,561,0,6.6
Desert Blue ,31,90,204,1000,1884,3207,28,2000000,697,69,6.2
Desert Dancer ,31,104,10,507,1177,1281,10,4000000,236,0,6.0
Desperado ,93,104,0,16000,138707,33758,202,7000000,12000,0,7.2
Despicable Me ,304,87,275,7000,385943,11608,296,69000000,2000,31000,7.7
Despicable Me 2 ,306,98,275,7000,286877,11905,284,76000000,2000,56000,7.5
Detention ,115,93,33,14000,12520,15014,76,10000000,383,0,5.8
Detention of the Dead ,29,87,38,552,2038,2251,20,500000,533,898,4.6
Deterrence ,29,104,37,574,2256,1983,79,800000,573,130,6.5
Detroit Rock City ,42,95,89,1000,30682,2518,194,15000000,852,0,6.8
Deuce Bigalow: European Gigolo ,98,83,2,591,41239,1729,166,22000000,489,887,4.6
Deuce Bigalow: Male Gigolo ,91,88,31,1000,59380,2604,202,17000000,489,0,5.7
Deuces Wild ,38,96,9,12000,6200,26961,92,10000000,11000,398,5.6
Devil ,273,80,66,2000,104089,5628,319,10000000,904,16000,6.3
Devil's Due ,137,89,14,971,13913,2517,120,7000000,479,0,4.0
Diamond Ruff ,1,82,5,472,53,1752,5,500000,251,62,4.3
Diamonds Are Forever ,120,120,82,244,74249,1105,276,7200000,177,0,6.7
Diary of a Mad Black Woman ,62,116,0,907,10472,2723,202,5500000,637,0,5.6
Diary of a Wimpy Kid ,111,94,87,17000,32002,20154,103,15000000,975,0,6.2
Diary of a Wimpy Kid: Dog Days ,88,94,42,975,15665,3153,35,22000000,569,0,6.4
Diary of a Wimpy Kid: Rodrick Rules ,103,99,42,975,18727,3567,45,21000000,569,0,6.6
Diary of the Dead ,280,95,0,569,40800,1797,332,2000000,529,0,5.7
Dick ,81,94,26,16000,16059,31005,210,13000000,8000,0,6.1
Dick Tracy ,72,105,631,678,47819,2096,164,100000000,631,2000,6.1
Dickie Roberts: Former Child Star ,75,98,39,593,11815,2713,117,17000000,517,320,5.6
Did You Hear About the Morgans? ,133,103,30,963,29523,3150,121,58000000,935,0,4.7
Die Another Day ,264,133,93,769,169914,2538,1185,142000000,766,0,6.1
Die Hard ,233,131,323,25000,592582,40585,722,28000000,13000,25000,8.2
Die Hard 2 ,142,124,212,13000,269858,16595,316,70000000,982,0,7.1
Die Hard with a Vengeance ,148,128,323,13000,299258,14274,346,90000000,559,0,7.6
Digimon: The Movie ,29,82,99,93,5164,315,65,5000000,45,207,5.9
Diner ,42,110,272,801,14995,2943,87,5000000,796,0,7.2
Dinosaur ,145,82,0,1000,38438,2945,241,127500000,558,0,6.5
Dirty Grandpa ,158,109,11,22000,49671,24063,166,11500000,851,11000,6.0
Dirty Pretty Things ,137,97,350,460,34848,1334,203,10000000,372,0,7.4
Dirty Work ,32,82,799,721,20033,1805,117,13000000,359,679,6.4
Disaster Movie ,111,88,82,869,74945,2857,359,25000000,624,0,1.9
Disclosure ,55,128,272,2000,36587,3888,95,55000000,812,0,6.0
District 9 ,472,112,662,2000,531737,2639,1262,30000000,433,22000,8.0
District B13 ,141,84,180,510,55928,962,157,12000000,297,0,7.2
Disturbia ,253,105,154,884,186984,2287,491,20000000,617,0,6.9
Disturbia ,253,105,154,884,186982,2288,491,20000000,617,0,6.9
Disturbing Behavior ,96,84,119,989,17328,4660,237,15000000,982,673,5.5
Divergent ,459,139,168,14000,341058,22226,713,85000000,5000,49000,6.7
Divine Secrets of the Ya-Ya Sisterhood ,93,116,144,1000,15352,3845,199,27000000,482,0,6.0
Django Unchained ,765,165,16000,29000,955174,40978,1193,100000000,11000,199000,8.5
Do the Right Thing ,103,120,0,782,59524,2892,418,6500000,652,0,7.9
Do You Believe? ,11,120,16,2000,4977,6752,63,2300000,848,13000,5.9
DOA: Dead or Alive ,110,87,23,826,38503,4473,180,21000000,816,0,4.8
Doc Holliday's Revenge ,1,84,142,10000,93,11466,6,1000000,854,54,3.8
Doctor Dolittle ,73,85,84,1000,74343,4166,98,71500000,1000,694,5.3
Doctor Zhivago ,89,200,767,597,55816,1966,255,11000000,396,7000,8.0
Dodgeball: A True Underdog Story ,191,92,43,989,185338,4730,392,20000000,939,0,6.7
Dodgeball: A True Underdog Story ,191,92,43,989,185345,4730,392,20000000,939,0,6.7
Dogma ,206,130,0,13000,181737,16693,1015,10000000,1000,10000,7.4
Dolphin Tale ,131,113,188,11000,17948,14209,86,37000000,680,0,6.9
Dolphin Tale 2 ,54,107,188,11000,6069,13904,33,36000000,641,0,6.4
Dolphins and Whales 3D: Tribes of the Ocean ,9,42,0,844,172,844,5,6000000,0,28,6.5
Domestic Disturbance ,98,89,17,12000,21283,13390,190,53000000,708,361,5.5
Domino ,186,127,12000,984,58015,5702,374,50000000,940,0,6.0
Don Jon ,364,90,23000,23000,190494,44265,314,3000000,19000,33000,6.6
Don Juan DeMarco ,44,97,19,40000,41310,52122,117,25000000,10000,0,6.8
Don't Be Afraid of the Dark ,298,99,24,3000,40776,3744,250,25000000,441,10000,5.6
Don't Say a Word ,113,113,39,1000,40362,3341,248,50000000,912,970,6.3
Donkey Punch ,114,99,4,1000,9376,1558,74,900000,233,0,5.2
Donnie Brasco ,117,147,179,40000,225122,56014,234,35000000,14000,0,7.8
Donnie Darko ,283,133,219,15000,580999,17040,2110,4500000,933,33000,8.1
Donovan's Reef ,27,109,673,756,5786,1949,65,2686585,370,573,6.9
Doogal ,31,77,3,787,3851,2185,114,20000000,690,346,2.8
Doom ,237,113,43,12000,88146,13517,814,60000000,585,0,5.2
Doomsday ,254,113,197,165,62770,391,396,30000000,107,0,6.0
Dope ,180,103,44,637,56605,1342,89,7000000,256,23000,7.3
Double Impact ,40,110,23,633,28736,874,72,15000000,67,0,5.5
Double Jeopardy ,129,105,78,984,56646,2129,336,70000000,489,0,6.4
Double Take ,45,88,269,1000,5431,2557,50,24000000,489,204,5.3
Doubt ,293,104,53,22000,99236,33903,321,20000000,11000,0,7.5
Doug's 1st Movie ,28,77,0,2000,2448,2908,18,5000000,804,122,5.0
Down and Out with the Dolls ,12,88,0,268,91,318,4,1200000,44,27,6.1
Down in the Valley ,74,108,12,2000,16617,3921,110,8000000,844,412,6.5
Down to Earth ,61,87,129,979,19079,2911,122,30000000,891,602,5.4
Down to You ,64,91,0,3000,12324,4409,173,9000000,683,580,4.9
Downfall ,192,178,101,918,248354,2334,564,13500000,653,14000,8.3
Dr. Dolittle 2 ,91,87,41,1000,33884,3287,79,72000000,692,266,4.6
Dr. No ,184,110,92,650,116642,1421,389,1100000,275,5000,7.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,192,95,0,654,342585,1991,839,1800000,575,18000,8.5
Dracula 2000 ,122,99,71,18000,27378,23344,365,28000000,1000,0,4.9
Dracula Untold ,261,92,28,3000,138582,5178,423,70000000,692,37000,6.3
Dracula: Pages from a Virgin's Diary ,58,73,126,14,1555,21,32,1600000,4,131,7.0
Draft Day ,159,110,425,3000,39357,3757,113,25000000,466,14000,6.8
Drag Me to Hell ,397,99,0,2000,158354,5642,691,30000000,1000,11000,6.6
Dragon Blade ,68,103,10,21,11584,58,86,65000000,18,0,6.1
Dragon Hunters ,41,80,0,677,10706,1364,39,11000000,262,0,6.6
Dragon Nest: Warriors' Dawn ,4,88,0,76,2169,196,18,40000000,47,0,6.4
Dragon Wars: D-War ,93,107,26,889,21506,3274,364,35000000,618,0,3.6
Dragonball: Evolution ,130,100,70,473,56451,1100,524,45000000,315,0,2.7
Dragonfly ,117,104,293,780,31788,2109,243,60000000,265,0,6.1
DragonHeart ,60,103,357,2000,78343,2710,139,57000000,663,0,6.4
Dragonslayer ,60,108,25,1000,10832,1263,102,18000000,115,0,6.7
Dream House ,174,84,260,6000,46239,8018,137,55000000,694,0,6.0
Dream with the Fishes ,28,97,4,611,1524,1692,29,1000000,394,166,7.0
Dreamcatcher ,175,136,759,11000,75573,12194,662,68000000,599,4000,5.5
Dreamer: Inspired by a True Story ,75,98,61,649,10018,1400,108,32000000,579,0,6.9
Dreamgirls ,241,130,386,912,55901,2856,503,70000000,549,0,6.5
Dreaming of Joseph Lees ,16,92,4,631,704,2020,18,2000000,443,100,6.4
Dredd ,432,95,38,409,203458,578,588,35000000,107,46000,7.1
Dredd ,432,95,38,409,203461,578,588,35000000,107,46000,7.1
Dressed to Kill ,121,104,0,754,23986,2442,201,6500000,567,0,7.1
Drillbit Taylor ,146,102,65,1000,50199,3239,101,40000000,613,702,5.7
Drive ,676,100,0,33000,431578,34337,1264,15000000,745,81000,7.8
Drive Angry ,296,104,71,12000,81800,16481,211,50000000,2000,15000,5.5
Drive Hard ,30,92,53,84,3104,179,33,12000000,37,774,4.3
Drive Me Crazy ,59,91,13,452,14904,1760,147,8000000,442,0,5.7
Driven ,109,116,212,13000,34435,14780,346,72000000,658,886,4.5
Driving Miss Daisy ,61,99,78,11000,72324,12619,134,7500000,509,3000,7.4
Drop Dead Gorgeous ,77,97,31,4000,27265,6388,321,10000000,980,0,6.5
Drowning Mona ,84,96,22,8000,11768,11078,148,16000000,2000,492,5.6
Drumline ,64,118,30,962,28649,2390,185,20000000,593,2000,5.7
Dry Spell ,1,90,138,370,114,841,3,22000,184,200,3.3
"Dude, Where's My Car? ",106,83,8,3000,116625,6454,469,13000000,934,0,5.5
"Dude, Where's My Dog?! ",2,82,7,143,73,417,4,20000,134,178,3.2
Dudley Do-Right ,41,77,37,3000,8176,5568,77,22000000,968,272,3.8
Due Date ,307,95,480,21000,272789,23018,285,65000000,561,25000,6.6
Duel in the Sun ,32,144,54,469,6304,2037,87,8000000,436,403,6.9
Duets ,65,112,28,555,8217,1227,123,15000000,403,573,6.0
Duma ,38,100,19,706,6454,1579,43,12000000,442,0,7.3
Dumb & Dumber ,84,113,137,879,288451,2985,438,16000000,854,0,7.3
Dumb and Dumber To ,218,109,101,13000,97045,16179,285,35000000,899,55000,5.7
Dumb and Dumberer: When Harry Met Lloyd ,85,85,14,577,30651,1653,267,19000000,291,1000,3.4
Dune ,144,177,0,913,97087,2449,569,40000000,362,11000,6.6
Dungeons & Dragons: Wrath of the Dragon God ,26,105,93,179,5018,363,108,15000000,55,473,4.9
Duplex ,78,89,0,1000,46205,3096,147,40000000,627,0,5.8
Duplicity ,211,125,209,8000,41727,10623,184,60000000,1000,0,6.2
Dwegons and Leprechauns ,2,98,2,729,50,1092,3,20000000,282,70,4.8
Dying of the Light ,64,94,261,12000,6964,12676,47,5000000,316,0,4.4
Dylan Dog: Dead of Night ,138,107,14,403,13026,1577,75,20000000,368,0,5.1
Dysfunctional Friends ,4,111,21,761,686,4306,8,1800000,713,569,5.4
DysFunktional Family ,23,89,269,489,761,539,14,3000000,26,26,6.6
E.T. the Extra-Terrestrial ,215,120,14000,861,281842,2811,515,10500000,725,34000,7.9
Eagle Eye ,215,118,154,3000,150764,5637,318,80000000,982,0,6.6
Earth to Echo ,112,91,13,803,15664,1921,149,13000000,587,0,5.8
East Is East ,82,96,70,883,14548,1616,161,1900000,183,1000,6.9
Eastern Promises ,356,96,0,10000,189249,17211,398,25000000,6000,0,7.7
Easy A ,262,92,87,15000,276746,16982,264,8000000,1000,19000,7.1
Eat Pray Love ,213,140,708,11000,63493,20440,302,60000000,8000,26000,5.7
Echo Dr. ,5,81,0,416,101,459,1,100000,18,17,3.6
Ed and His Dead Mother ,13,93,0,12000,1435,14620,17,1800000,580,266,6.1
Ed Wood ,148,127,13000,40000,142416,56585,420,18000000,13000,0,7.9
Eddie the Eagle ,216,106,452,20000,32507,21195,119,23000000,732,15000,7.5
Eddie the Eagle ,216,106,452,20000,32513,21195,119,23000000,732,15000,7.5
Eddie: The Sleepwalking Cannibal ,56,83,5,413,1231,843,10,1500000,197,932,5.7
Edge of Darkness ,258,117,258,2000,75201,7053,256,80000000,1000,0,6.6
Edge of Tomorrow ,585,113,218,10000,431620,12652,741,178000000,854,77000,7.9
Edmond ,79,82,216,1000,9971,5761,119,10000000,922,661,6.3
Edtv ,115,122,2000,11000,35599,15275,195,55000000,1000,641,6.1
Edward Scissorhands ,111,105,13000,40000,357581,42330,588,20000000,967,16000,7.9
Eight Below ,118,120,155,23000,48806,24300,263,40000000,984,11000,7.3
Eight Legged Freaks ,181,99,11,19000,43764,22554,291,30000000,953,0,5.4
El crimen del padre Amaro ,85,118,12,201,11088,546,110,1800000,163,544,6.8
El Mariachi ,56,81,0,121,52055,147,130,7000,20,0,6.9
Election ,175,103,729,2000,73640,3516,441,8000000,841,0,7.3
Elektra ,196,100,38,3000,71202,7048,380,43000000,1000,0,4.8
Elf ,152,97,4000,22000,147597,43354,395,33000000,11000,21000,6.9
Elite Squad ,142,115,294,585,81644,666,107,4000000,39,11000,8.1
Elizabeth ,141,124,159,288,75973,1006,409,25000000,249,0,7.5
Elizabeth: The Golden Age ,202,114,159,13000,54787,16899,216,55000000,2000,0,6.9
Elizabethtown ,190,123,488,5000,58658,12700,495,57000000,4000,0,6.4
Ella Enchanted ,89,96,13,11000,47800,17292,244,35000000,1000,0,6.3
Elling ,67,89,16,117,12244,155,95,15500000,21,0,7.6
Elmer Gantry ,42,146,174,556,7998,1444,81,3000000,422,808,7.9
Elsa & Fred ,59,97,53,962,2041,3465,18,10000000,545,0,6.5
Elysium ,476,109,662,13000,338087,17689,814,115000000,2000,61000,6.6
Elza ,2,78,0,0,19,0,2,900000,0,24,6.7
Employee of the Month ,85,103,27,1000,37681,4441,151,12000000,809,0,5.5
Enchanted ,222,107,36,283,142496,662,399,85000000,142,0,7.1
End of Days ,174,121,0,1000,89509,3903,524,83000000,1000,2000,5.7
End of the Spear ,47,108,2,772,4360,1058,148,10000000,232,1000,7.0
End of Watch ,355,109,453,15000,181025,27788,336,7000000,10000,38000,7.7
Ender's Game ,326,114,151,11000,184561,12908,554,110000000,635,123000,6.7
Endless Love ,98,104,19,15000,31323,18760,76,20000000,989,0,6.3
Enemy at the Gates ,187,131,218,5000,188887,5103,662,68000000,35,0,7.6
Enemy of the State ,81,140,12000,10000,188116,11951,415,90000000,660,0,7.3
Enough ,98,115,150,970,30667,3770,234,38000000,919,0,5.6
Enough Said ,231,93,132,434,49240,1183,142,8000000,265,12000,7.1
Enter Nowhere ,26,90,0,322,5025,630,45,500000,178,701,6.6
Enter the Dangerous Mind ,17,88,8,2000,704,4469,9,800000,715,406,5.2
Enter the Void ,216,161,929,488,45449,943,192,13000000,289,23000,7.3
Entrapment ,138,113,36,537,88132,1302,274,66000000,427,0,6.2
Envy ,76,99,272,1000,26390,1189,176,40000000,87,713,4.8
Epic ,203,102,77,14000,85833,14552,113,100000000,151,17000,6.7
Epic Movie ,112,93,82,926,89687,4293,666,20000000,869,0,2.3
Equilibrium ,146,107,110,23000,261317,25088,1137,20000000,876,20000,7.5
Eragon ,170,104,14,3000,108076,4487,1690,100000000,762,0,5.1
Eraser ,81,115,55,1000,84424,3454,131,100000000,773,0,6.1
Eraserhead ,152,89,0,195,69831,837,535,20000,158,0,7.4
Erin Brockovich ,169,131,0,8000,135246,10003,498,52000000,883,0,7.3
Ernest & Celestine ,99,80,2,6000,12029,6829,32,9600000,637,0,7.9
Escape from Alcatraz ,53,112,152,16000,87090,17568,142,8000000,466,0,7.6
Escape from L.A. ,104,101,0,12000,54021,15935,227,50000000,898,0,5.7
Escape from New York ,201,106,0,742,91017,2270,284,6000000,602,0,7.2
Escape from Planet Earth ,83,89,7,3000,20615,3361,44,40000000,190,0,5.9
Escape from the Planet of the Apes ,74,98,11,595,23546,2373,92,2500000,521,819,6.3
Escape Plan ,286,115,101,13000,177653,15708,279,50000000,1000,34000,6.7
Escobar: Paradise Lost ,106,120,30,14000,13762,14492,39,17000000,287,0,6.6
Eternal Sunshine of the Spotless Mind ,273,108,1000,14000,666937,19364,1514,20000000,4000,52000,8.3
Eulogy ,27,85,0,11000,7690,14656,68,6500000,826,376,6.7
EuroTrip ,92,93,17,13000,162067,14180,316,25000000,634,0,6.6
Evan Almighty ,186,96,293,87000,115099,108016,257,175000000,11000,2000,5.4
Eve's Bayou ,31,109,148,2000,6915,3843,209,6000000,434,599,7.3
Event Horizon ,172,130,545,722,120416,2525,857,60000000,585,10000,6.7
Ever After: A Cinderella Story ,92,121,72,1000,57958,2747,345,26000000,794,0,7.0
Everest ,361,121,175,963,134625,2131,265,55000000,580,40000,7.1
Everybody's Fine ,160,99,52,22000,49855,23409,117,21000000,1000,10000,7.2
Everyone Says I Love You ,69,101,11000,1000,30083,1614,140,20000000,612,0,6.8
Everything Must Go ,155,97,7,8000,40305,10517,86,5000000,981,0,6.4
Everything Put Together ,24,87,395,991,601,3309,10,100000,946,22,6.6
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,50,88,11000,11000,31077,12034,78,2000000,300,0,6.8
Evil Dead ,543,96,201,394,125016,673,789,17000000,150,70000,6.5
Evil Dead II ,252,37,0,634,113451,1347,537,3600000,328,0,7.8
Evita ,76,135,317,57,29205,164,194,55000000,40,0,6.3
Ex Machina ,489,108,232,149,289508,430,611,15000000,145,109000,7.7
Excessive Force ,19,87,29,683,922,1139,23,3000000,155,107,5.1
Executive Decision ,60,133,53,1000,40858,2916,144,55000000,780,0,6.4
Exiled ,98,110,143,155,6919,398,26,35000000,96,528,7.3
eXistenZ ,196,115,0,1000,77493,2990,527,31000000,900,6000,6.8
Exit Wounds ,107,101,43,2000,27580,5942,232,33000000,1000,742,5.5
Exodus: Gods and Kings ,314,150,0,23000,128694,26489,657,140000000,892,51000,6.1
Exodus: Gods and Kings ,314,150,0,23000,128682,26490,657,140000000,893,51000,6.1
Exorcist II: The Heretic ,82,118,128,931,16294,2704,252,14000000,726,889,3.7
Exorcist: The Beginning ,167,125,212,613,28635,1970,308,50000000,422,893,5.1
Exotica ,53,103,460,991,14112,2990,83,2000000,971,619,7.2
Extract ,192,92,406,24000,37530,41867,106,8000000,15000,0,6.2
Extraordinary Measures ,126,106,12,11000,14281,17560,64,31000000,3000,0,6.5
Extreme Measures ,47,118,150,24000,14066,24547,75,38000000,210,352,6.1
Extreme Ops ,53,93,18,3000,4821,4123,82,40000000,545,158,4.5
Extremely Loud & Incredibly Close ,283,129,335,15000,81298,15595,341,40000000,467,39000,6.9
Eye for an Eye ,31,101,154,1000,9845,3174,77,20000000,816,613,6.1
Eye of the Beholder ,88,109,11,471,13320,1069,415,15000000,308,327,4.9
Eye of the Dolphin ,18,100,0,640,806,1491,18,2500000,261,140,5.7
Eye See You ,66,96,13,13000,19706,15803,142,55000000,854,448,5.3
Eyes Wide Shut ,280,159,0,10000,227071,11424,1500,65000000,580,10000,7.3
F.I.S.T. ,20,145,278,13000,5561,14735,35,11000000,595,745,6.4
Face/Off ,155,138,610,12000,283967,17087,535,80000000,1000,11000,7.3
Facing the Giants ,31,111,589,589,12399,916,382,100000,150,0,6.7
Factory Girl ,117,99,60,4000,18355,6526,106,7000000,787,3000,6.4
Fahrenheit 9/11 ,288,122,909,503,113152,1448,1416,6000000,328,0,7.5
Failure to Launch ,143,95,9,14000,58412,37967,242,50000000,11000,2000,5.6
Fair Game ,214,108,218,6000,38513,10191,127,22000000,3000,9000,6.8
Faith Connections ,19,115,95,0,113,0,3,550000,0,126,7.0
Faith Like Potatoes ,5,116,12,412,2050,521,36,10000000,48,0,6.9
Faithful ,21,91,150,979,1595,1679,19,13000000,385,69,5.9
Falcon Rising ,29,103,249,2000,4952,3089,32,4500000,298,0,5.8
Fame ,134,123,64,808,14062,5734,82,18000000,720,0,5.0
Family Plot ,67,120,13000,897,15293,2811,111,4490375,844,609,6.8
Fantasia ,99,120,11,16,71321,16,230,2280000,0,3000,7.8
Fantasia 2000 ,129,74,11,340,27543,814,186,80000000,243,607,7.3
Fantastic 4: Rise of the Silver Surfer ,262,92,167,11000,213275,15302,436,130000000,2000,0,5.6
Fantastic Four ,369,100,128,596,110486,1261,695,120000000,360,41000,4.3
Fantastic Four ,369,100,128,596,110486,1261,695,120000000,360,41000,4.3
Fantastic Mr. Fox ,335,87,0,13000,139114,24770,245,40000000,11000,15000,7.8
Far from Heaven ,181,107,162,2000,36542,2447,378,13500000,258,0,7.4
Far from Men ,102,101,2,10000,4035,10218,19,7700000,154,2000,7.3
Fascination ,13,103,34,811,1207,1789,44,5000000,522,40,3.3
Fast Five ,342,132,681,23000,284792,55345,366,125000000,14000,54000,7.3
Fast Times at Ridgemont High ,118,90,143,1000,71217,5002,228,4500000,901,0,7.2
Faster ,196,98,88,12000,80574,14699,157,24000000,854,12000,6.5
Fat Albert ,59,93,38,1000,9380,4604,91,26000000,641,531,4.3
"Fat, Sick & Nearly Dead ",13,97,65,65,6429,67,25,2500000,2,10000,7.6
Fatal Attraction ,94,119,213,886,55101,1639,201,14000000,276,3000,6.9
Fateless ,73,134,45,9,5603,11,45,2500000000,2,607,7.1
Fear and Loathing in Las Vegas ,156,118,0,40000,213226,43105,648,18500000,693,15000,7.7
Fear Clinic ,39,95,53,677,6256,1825,19,1000000,366,936,5.2
Feardotcom ,104,101,37,2000,17309,4262,388,42000000,886,612,3.3
Feast ,130,95,38,164000,25542,170118,252,3200000,2000,0,6.4
Femme Fatale ,149,114,0,548,28584,1005,232,35000000,298,675,6.3
Fetching Cody ,16,87,0,199,1232,596,10,1500000,134,193,6.8
Fever Pitch ,124,104,101,787,36223,1827,208,30000000,299,0,6.2
Fiddler on the Roof ,66,181,278,402,29839,934,150,9000000,343,0,8.0
